Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.52,-.67,-.40,-.75,-.44,-.35,-1.16,-.85,-.60,-.36,-.60,-.36,.05,*****
1881,-.51,-.53,-.52,-.58,-.43,-.51,-1.03,-.77,-.31,-.34,-.55,-.49,-.26,*****
1882,-.43,-.52,-.40,-.60,-.30,-.39,-1.49,-.54,-.41,-.22,-.44,-.37,-.12,*****
1883,-.43,-.69,-.25,-.77,-.37,-.22,-.29,-1.06,-.65,-.35,-.33,-.26,.26,*****
1884,-.71,-.90,-.58,-.99,-.62,-.53,-1.30,-1.08,-.82,-.55,-.73,-.43,-.66,*****
1885,-.57,-.71,-.53,-.82,-.37,-.49,-1.35,-.86,-.63,-.23,-.65,-.42,-.44,*****
1886,-.71,-.69,-.72,-.76,-.58,-.60,-1.25,-.69,-.68,-.39,-1.10,-.55,-.49,*****
1887,-.73,-.72,-.75,-.78,-.65,-.64,-1.61,-.87,-.47,-.50,-1.02,-.66,-.24,*****
1888,-.50,-.71,-.42,-.81,-.33,-.45,-1.56,-.97,-.48,-.28,-.35,-.21,-.79,*****
1889,-.26,-.39,-.24,-.47,-.03,-.39,-.74,-.49,-.38,-.05,.04,-.27,-.47,*****
1890,-.62,-.57,-.72,-.61,-.65,-.52,-1.15,-.76,-.33,-.42,-.97,-.59,-.15,*****
1891,-.65,-.55,-.83,-.63,-.64,-.56,-1.32,-.51,-.52,-.26,-1.19,-.53,-.42,*****
1892,-.56,-.60,-.60,-.68,-.48,-.55,-1.51,-.76,-.37,-.33,-.64,-.58,-.26,*****
1893,-.59,-.62,-.64,-.66,-.65,-.43,-1.04,-.68,-.52,-.48,-.84,-.62,.25,*****
1894,-.49,-.51,-.55,-.55,-.56,-.33,-1.25,-.54,-.30,-.38,-.76,-.46,.19,*****
1895,-.40,-.48,-.40,-.55,-.38,-.27,-.95,-.62,-.34,-.25,-.52,-.31,-.01,*****
1896,-.36,-.44,-.43,-.58,-.32,-.18,-1.22,-.70,-.24,-.02,-.66,-.17,.01,*****
1897,-.28,-.28,-.34,-.40,-.08,-.40,-.78,-.38,-.28,.09,-.27,-.28,-.46,*****
1898,-.43,-.35,-.57,-.42,-.37,-.50,-1.26,-.32,-.20,-.15,-.62,-.40,-.54,*****
1899,-.36,-.22,-.60,-.30,-.36,-.39,-1.20,-.20,-.05,.02,-.79,-.30,-.40,*****
1900,-.21,-.16,-.29,-.23,-.10,-.33,-.74,-.18,-.08,.03,-.23,-.20,-.43,*****
1901,-.20,-.13,-.31,-.17,-.21,-.22,-.58,.03,-.17,-.03,-.39,-.24,.06,*****
1902,-.42,-.48,-.44,-.66,-.14,-.53,-1.76,-.67,-.23,.03,-.33,-.40,-.67,*****
1903,-.48,-.41,-.59,-.50,-.35,-.64,-.60,-.40,-.54,-.17,-.54,-.62,-.45,-1.33
1904,-.59,-.48,-.73,-.50,-.66,-.57,-.45,-.50,-.51,-.45,-.89,-.51,-.43,-1.70
1905,-.40,-.34,-.47,-.41,-.28,-.52,-.29,-.25,-.59,-.17,-.41,-.50,-.36,-.88
1906,-.29,-.21,-.38,-.25,-.24,-.39,-.48,-.08,-.32,-.12,-.37,-.31,-.32,-.93
1907,-.59,-.61,-.61,-.73,-.51,-.53,-.83,-.91,-.53,-.36,-.69,-.55,-.26,-1.27
1908,-.44,-.39,-.53,-.45,-.45,-.39,-.53,-.50,-.39,-.26,-.68,-.57,.14,.71
1909,-.46,-.42,-.54,-.51,-.38,-.51,-.90,-.55,-.34,-.21,-.57,-.60,-.09,-.79
1910,-.39,-.38,-.44,-.39,-.45,-.31,-.82,-.23,-.37,-.34,-.57,-.37,-.02,.32
1911,-.41,-.36,-.49,-.38,-.41,-.44,-.39,-.38,-.38,-.30,-.54,-.49,-.14,-.14
1912,-.39,-.52,-.30,-.66,-.22,-.34,-.79,-.73,-.56,-.19,-.24,-.16,-.44,-2.13
1913,-.38,-.42,-.36,-.43,-.41,-.29,-.73,-.30,-.43,-.39,-.42,-.14,-.38,-1.34
1914,-.13,-.17,-.12,-.21,-.15,-.03,-.69,-.09,-.14,-.09,-.21,.03,.03,-.31
1915,-.13,-.07,-.21,-.18,.08,-.37,-.78,-.10,-.02,.17,-.02,-.17,-.49,-2.65
1916,-.37,-.35,-.40,-.37,-.34,-.42,-.44,-.51,-.21,-.30,-.37,-.38,-.18,-1.82
1917,-.58,-.66,-.55,-.68,-.66,-.37,-.86,-.66,-.64,-.60,-.72,-.62,.41,.33
1918,-.49,-.48,-.53,-.50,-.55,-.39,-1.30,-.34,-.35,-.44,-.68,-.42,-.12,-.11
1919,-.25,-.38,-.19,-.52,-.13,-.13,-1.02,-.65,-.24,-.02,-.24,-.09,-.07,.15
1920,-.34,-.29,-.37,-.26,-.34,-.42,-.07,-.15,-.43,-.36,-.31,-.32,-.39,-1.05
1921,-.22,-.10,-.33,-.03,-.29,-.32,-.15,.14,-.13,-.25,-.33,-.23,-.30,-.93
1922,-.31,-.29,-.34,-.30,-.31,-.31,-.48,-.45,-.12,-.26,-.35,-.33,-.04,-.52
1923,-.32,-.20,-.44,-.16,-.33,-.48,.04,-.09,-.29,-.27,-.39,-.35,-.59,-.54
1924,-.28,-.14,-.39,-.15,-.18,-.55,.17,-.14,-.28,-.12,-.23,-.54,-.32,-1.43
1925,-.30,-.10,-.48,-.04,-.30,-.55,-.28,.23,-.18,-.20,-.40,-.47,-.52,-.81
1926,-.09,.05,-.21,.07,-.04,-.33,.33,.24,-.16,.01,-.09,-.16,-.53,-.69
1927,-.23,-.10,-.34,-.15,-.12,-.45,-.19,-.23,-.06,-.01,-.23,-.25,-.65,-1.81
1928,-.15,-.01,-.25,-.02,-.04,-.43,.50,-.06,-.17,.00,-.07,-.23,-.52,-3.00
1929,-.38,-.31,-.46,-.38,-.28,-.51,-.06,-.51,-.39,-.17,-.41,-.43,-.41,-1.82
1930,-.20,.02,-.41,.07,-.21,-.46,.35,.10,-.06,-.07,-.36,-.17,-.75,-3.28
1931,-.12,.08,-.28,.06,.00,-.46,.32,.03,.00,.11,-.11,-.43,-.31,-.78
1932,-.13,-.01,-.24,.05,-.17,-.26,.17,.23,-.15,-.13,-.21,-.13,-.30,-1.36
1933,-.27,-.28,-.27,-.34,-.20,-.30,-.46,-.48,-.18,-.17,-.23,-.18,-.31,-1.39
1934,-.13,.05,-.28,.21,-.27,-.28,.62,.42,-.11,-.26,-.27,-.24,-.13,-.82
1935,-.25,-.11,-.36,-.05,-.21,-.51,.09,.03,-.18,-.20,-.22,-.37,-.58,-1.63
1936,-.12,-.04,-.19,-.03,-.11,-.23,.09,.06,-.16,-.06,-.15,-.23,-.06,.09
1937,-.03,.16,-.18,.22,-.04,-.26,.97,.11,.04,.03,-.11,-.23,-.20,.69
1938,.04,.24,-.14,.42,-.12,-.14,1.11,.48,.11,-.11,-.12,-.01,-.18,-1.20
1939,-.13,.10,-.33,.24,-.19,-.43,.41,.31,.11,-.15,-.23,-.17,-.77,-2.01
1940,.06,.11,.02,.16,.03,-.01,.75,.13,-.03,.02,.06,.09,-.04,-.09
1941,.01,.07,-.02,-.02,.18,-.17,-.32,-.12,.17,.23,.13,-.02,-.32,-.53
1942,.02,.05,.01,.04,.08,-.08,.18,-.02,.04,.06,.10,.09,-.22,-1.37
1943,-.03,.08,-.14,.29,-.25,-.06,1.09,.34,-.06,-.29,-.21,-.09,.15,1.06
1944,.02,.14,-.07,.25,-.09,-.05,.91,.41,-.12,-.10,-.08,.08,-.19,-.13
1945,-.11,-.06,-.16,-.04,-.10,-.20,.35,-.09,-.14,-.09,-.11,.08,-.53,-2.33
